collection,is_homepage,title,slug,permalink,schema_type,excerpt,order,keywords,media_hero,media_alt,references,album,body_md
written-photography,False,BITCOIN WAS THE TEST NET,bitcoin-test-net-further-energetic,/written-photography/bitcoin-test-net-further-energetic/,CreativeWork,,,"bitcoin, test, further, energetic, demand, matrix",,,,,"BITCOIN WAS THE TEST NET

For a further 
energetic demand
from a Matrix."
written-photography,False,IN THE TEMPLE,temple-days-endless-mantras-until,/written-photography/temple-days-endless-mantras-until/,ShortStory,,,"temple, days, endless, mantras, until, people, faint, healed",,,,,"IN THE TEMPLE

Days of endless mantras
until people faint healed."
written-photography,False,SISYPHUS SYZIGY,sisyphus-syzigy-each-carries-earth,/written-photography/sisyphus-syzigy-each-carries-earth/,ShortStory,,,"sisyphus, syzigy, each, carries, earth, underneath, perihelion, aphelion, again, relay",,,,,"SISYPHUS SYZIGY

Each one of us 
carries the Earth underneath
from perihelion to aphelion
over and over again
relay races
symphony."
written-photography,False,I'M FULL OF SUPERSTITION,m-full-superstition-scientificaly-backed,/written-photography/m-full-superstition-scientificaly-backed/,CreativeWork,,,"full, superstition, scientificaly, backed, possible",,,,,"I'M FULL OF SUPERSTITION

as scientificaly backed
as possible."
written-photography,False,YOUR SALARY,salary-still-certain-amount-salt,/written-photography/salary-still-certain-amount-salt/,Statement,,,"salary, still, certain, amount, salt",,,,,"YOUR SALARY

is still
a certain 
amount
of salt."
written-photography,False,SEAMLESSLY,seamlessly-wherever-waiting-line-frictionless,/written-photography/seamlessly-wherever-waiting-line-frictionless/,CreativeWork,,,"seamlessly, wherever, waiting, line, frictionless, solutions, coming",,,,,"SEAMLESSLY

Wherever you see 
a waiting line,

frictionless solutions
are coming."
written-photography,False,I KNOW ABOUT HAPPINESS,know-happiness-because-felt-laughter,/written-photography/know-happiness-because-felt-laughter/,CreativeWork,,,"know, happiness, because, felt, laughter, like",,,,,"I KNOW ABOUT HAPPINESS

Because 
I felt your laughter
like my own."
written-photography,False,COUNTERINTUITIVE,counterintuitive-removing-temptations-eating,/written-photography/counterintuitive-removing-temptations-eating/,ShortStory,,,"counterintuitive, removing, temptations, eating",,,,,"COUNTERINTUITIVE

Removing temptations
by eating them all."
written-photography,False,IN A CASINO,casino-lost-everything-ever-considered,/written-photography/casino-lost-everything-ever-considered/,ShortStory,,,"casino, lost, everything, ever, considered, valuable",,,,,"IN A CASINO

I lost everything
that I ever
considered valuable."
written-photography,False,ARTIFICIAL INTELLIGENCE,artificial-intelligence-revealed-game-always,/written-photography/artificial-intelligence-revealed-game-always/,CreativeWork,,,"artificial, intelligence, revealed, game, always, which, questions",,,,,"ARTIFICIAL INTELLIGENCE

Has revealed:
The game was always about
which questions to ask."
written-photography,False,MIND WHERE YOU ARE,mind-where-convergent-evolution-operating,/written-photography/mind-where-convergent-evolution-operating/,Statement,,,"mind, where, convergent, evolution, operating",,,,,"MIND WHERE YOU ARE

Convergent evolution
is operating on you."
written-photography,False,IKARIA WARIOOTIA,ikaria-wariootia-inside-mount-anus,/written-photography/ikaria-wariootia-inside-mount-anus/,CreativeWork,,,"ikaria, wariootia, inside, mount, anus, sophisticated, worms, physiological, crutches, peristaltic",,,,,"IKARIA WARIOOTIA

Inside of us all,
mount to anus,
we're sophisticated worms
with physiological crutches.

Peristaltic Locomotion."
written-photography,False,DEEP SLEEP,deep-sleep-requires-face-dead,/written-photography/deep-sleep-requires-face-dead/,CreativeWork,,,"deep, sleep, requires, face, dead, person",,,,,"DEEP SLEEP

Requires
that you put on the face
of a dead person."
written-photography,False,BY THE CUT,cut-where-dead-ends-meet,/written-photography/cut-where-dead-ends-meet/,CreativeWork,,,"where, dead, ends, meet",,,,,"BY THE CUT

See you
where
the two dead ends
meet."
written-photography,False,DOWN IN THE HORIZON,down-horizon-sirius-blinks-white,/written-photography/down-horizon-sirius-blinks-white/,CreativeWork,,,"down, horizon, sirius, blinks, white, blue, like, lights, police",,,,,"DOWN IN THE HORIZON

Sirius blinks red, white and blue,
like the lights
on a police car."
written-photography,False,SUCCESSOR,successor-depends-ability-succeed,/written-photography/successor-depends-ability-succeed/,CreativeWork,,,"successor, depends, ability, succeed",,,,,"SUCCESSOR

Depends on
the ability
to succeed."
written-photography,False,THE CELLS,cells-understand-everything-know-hadn,/written-photography/cells-understand-everything-know-hadn/,ShortStory,,,"cells, understand, everything, know, hadn, born, time, heard, same, advices",,,,,"THE CELLS

That could understand
everything that we now know,

hadn't born yet
by the time
we heard the same advices."
written-photography,False,YOU CAN'T GO BACK IN TIME,t-go-back-time-move,/written-photography/t-go-back-time-move/,CreativeWork,,,"back, time, move, forward, future, past, other, person, showing, change",,,,,"YOU CAN'T GO BACK IN TIME

But you can move forward
to the future's past 
of other person.

By showing up:
you change it."
written-photography,False,ONCE I SAT DOWN,once-sat-down-meditation-since,/written-photography/once-sat-down-meditation-since/,ShortStory,,,"once, down, meditation, since, then, feeling, still, sitting, there, seeing",,,,,"ONCE I SAT DOWN

In Zen Meditation.

Since then I got the feeling
that I'm still sitting there

and you're seeing
a hologram."
written-photography,False,TAO,tao-mistery-mastery-twins-both,/written-photography/tao-mistery-mastery-twins-both/,CreativeWork,,,"mistery, mastery, twins, both, meet, mist",,,,,"TAO

Mistery and Mastery
are twins,

they both 
meet 
in the mist."
